#
# Class "hotel_db#reservation"
#
@w4hotelReservationNumber|w4hotelReservationState|w4hotelReservationDate|w4hotelReservationClient|w4hotelReservationCheckIn|w4hotelReservationCheckOut|w4hotelReservationNights|w4hotelReservationEstablishment|w4hotelCurrentReservationRooms|w4hotelReservationAdults|w4hotelReservationChildren|w4hotelReservationRooms
1065|2|19/09/2011 00:00:00|1056|23/09/2011 00:00:00|28/09/2011 00:00:00|5|1005|~1051~|2|0|~1051~
1066|2|09/10/2011 00:00:00|1065|15/10/2011 00:00:00|21/10/2011 00:00:00|6|1003|~1036~|1|0|~1036~
1067|2|02/10/2011 00:00:00|1031|09/10/2011 00:00:00|15/10/2011 00:00:00|6|1009|~1091~|1|0|~1091~
1068|2|28/11/2011 00:00:00|1091|28/11/2011 00:00:00|02/12/2011 00:00:00|4|1010|~1100~1102~|1|2|~1100~1102~
1069|2|23/09/2011 00:00:00|1043|29/09/2011 00:00:00|06/10/2011 00:00:00|7|1008|~1085~|2|0|~1085~
1070|1|16/02/2012 00:00:00|1025|22/02/2012 00:00:00|01/03/2012 00:00:00|7|1007|~1073~1075~|1|2|~1073~1075~
1071|2|27/01/2012 00:00:00|1023|04/02/2012 00:00:00|06/02/2012 00:00:00|2|1004|~1040~|1|0|~1040~
1072|2|25/08/2011 00:00:00|1001|02/09/2011 00:00:00|06/09/2011 00:00:00|4|1000|~1000~|2|0|~1000~
1073|2|02/12/2011 00:00:00|1049|05/12/2011 00:00:00|10/12/2011 00:00:00|5|1010|~1102~|1|0|~1102~
1074|2|02/01/2012 00:00:00|1042|05/01/2012 00:00:00|07/01/2012 00:00:00|2|1003|~1035~1032~|1|2|~1035~1032~
1075|1|20/02/2012 00:00:00|1063|20/02/2012 00:00:00|21/02/2012 00:00:00|1|1005|~1054~|1|0|~1054~
1076|1|19/02/2012 00:00:00|1055|20/02/2012 00:00:00|23/02/2012 00:00:00|3|1005|~1057~|1|0|~1057~
1077|2|05/11/2011 00:00:00|1022|06/11/2011 00:00:00|08/11/2011 00:00:00|2|1000|~1004~|1|0|~1004~
1078|2|19/09/2011 00:00:00|1092|21/09/2011 00:00:00|25/09/2011 00:00:00|4|1003|~1036~|2|0|~1036~
1079|2|10/10/2011 00:00:00|1080|19/10/2011 00:00:00|25/10/2011 00:00:00|6|1006|~1066~|1|0|~1066~
1080|0|08/03/2012 00:00:00|1065|15/03/2012 00:00:00|22/03/2012 00:00:00|7|1001|~1010~|2|0|~1010~
1081|2|07/12/2011 00:00:00|1050|16/12/2011 00:00:00|18/12/2011 00:00:00|2|1010|~1107~|1|0|~1107~
1082|2|30/10/2011 00:00:00|1097|03/11/2011 00:00:00|04/11/2011 00:00:00|1|1008|~1083~1082~|2|1|~1083~1082~
1083|2|10/08/2011 00:00:00|1048|12/08/2011 00:00:00|14/08/2011 00:00:00|2|1010|~1103~1107~|2|1|~1103~1107~
1084|2|05/11/2011 00:00:00|1075|09/11/2011 00:00:00|10/11/2011 00:00:00|1|1006|~1061~|1|0|~1061~
1085|2|02/11/2011 00:00:00|1018|11/11/2011 00:00:00|18/11/2011 00:00:00|7|1004|~1049~1045~|1|2|~1049~1045~
1086|0|17/03/2012 00:00:00|1089|17/03/2012 00:00:00|22/03/2012 00:00:00|5|1001|~1011~|2|0|~1011~
1087|2|03/12/2011 00:00:00|1085|10/12/2011 00:00:00|13/12/2011 00:00:00|3|1003|~1033~1037~|2|1|~1033~1037~
1088|2|13/11/2011 00:00:00|1052|20/11/2011 00:00:00|24/11/2011 00:00:00|4|1006|~1066~1063~|2|2|~1066~1063~
1089|2|18/12/2011 00:00:00|1003|18/12/2011 00:00:00|22/12/2011 00:00:00|4|1003|~1032~|1|0|~1032~
1090|0|28/02/2012 00:00:00|1064|05/03/2012 00:00:00|07/03/2012 00:00:00|2|1006|~1069~1063~|1|2|~1069~1063~
1091|0|21/02/2012 00:00:00|1042|27/02/2012 00:00:00|03/03/2012 00:00:00|4|1000|~1000~1005~|2|2|~1000~1005~
1092|1|11/02/2012 00:00:00|1076|12/02/2012 00:00:00|13/02/2012 00:00:00|1|1001|~1013~|1|0|~1013~
1093|0|13/02/2012 00:00:00|1048|16/02/2012 00:00:00|19/02/2012 00:00:00|3|1006|~1064~1063~|2|2|~1064~1063~
1094|2|04/02/2012 00:00:00|1044|08/02/2012 00:00:00|13/02/2012 00:00:00|5|1010|~1108~|1|0|~1108~
1095|0|10/03/2012 00:00:00|1050|13/03/2012 00:00:00|20/03/2012 00:00:00|7|1010|~1101~|1|0|~1101~
1096|2|21/10/2011 00:00:00|1007|21/10/2011 00:00:00|24/10/2011 00:00:00|3|1006|~1063~|1|0|~1063~
1097|2|16/08/2011 00:00:00|1086|20/08/2011 00:00:00|22/08/2011 00:00:00|2|1009|~1093~|1|0|~1093~
1098|2|13/09/2011 00:00:00|1076|19/09/2011 00:00:00|21/09/2011 00:00:00|2|1001|~1010~1018~|2|2|~1010~1018~
1099|2|06/01/2012 00:00:00|1035|08/01/2012 00:00:00|12/01/2012 00:00:00|4|1004|~1048~|1|0|~1048~
1100|2|01/08/2011 00:00:00|1007|04/08/2011 00:00:00|11/08/2011 00:00:00|7|1006|~1067~|1|0|~1067~
1101|2|31/01/2012 00:00:00|1053|01/02/2012 00:00:00|03/02/2012 00:00:00|2|1000|~1005~|1|0|~1005~
1102|2|16/01/2012 00:00:00|1081|24/01/2012 00:00:00|29/01/2012 00:00:00|5|1005|~1053~|1|0|~1053~
1103|2|19/11/2011 00:00:00|1068|23/11/2011 00:00:00|25/11/2011 00:00:00|2|1010|~1103~|1|0|~1103~
1104|0|15/02/2012 00:00:00|1039|22/02/2012 00:00:00|01/03/2012 00:00:00|7|1006|~1068~1065~|1|1|~1068~1065~
1105|2|27/09/2011 00:00:00|1053|30/09/2011 00:00:00|05/10/2011 00:00:00|5|1008|~1081~1084~|2|1|~1081~1084~
1106|2|18/11/2011 00:00:00|1096|25/11/2011 00:00:00|29/11/2011 00:00:00|4|1003|~1039~1030~|2|2|~1039~1030~
1107|2|19/12/2011 00:00:00|1001|27/12/2011 00:00:00|31/12/2011 00:00:00|4|1006|~1066~|1|0|~1066~
1108|2|17/08/2011 00:00:00|1099|24/08/2011 00:00:00|26/08/2011 00:00:00|2|1004|~1040~|2|0|~1040~
1109|2|16/12/2011 00:00:00|1012|18/12/2011 00:00:00|22/12/2011 00:00:00|4|1002|~1020~|2|0|~1020~
1110|2|16/08/2011 00:00:00|1027|21/08/2011 00:00:00|23/08/2011 00:00:00|2|1005|~1058~1059~|1|2|~1058~1059~
1111|2|24/07/2011 00:00:00|1006|01/08/2011 00:00:00|07/08/2011 00:00:00|6|1009|~1093~|1|0|~1093~
1112|0|18/02/2012 00:00:00|1098|25/02/2012 00:00:00|27/02/2012 00:00:00|2|1008|~1087~|1|0|~1087~
1113|2|04/11/2011 00:00:00|1076|07/11/2011 00:00:00|11/11/2011 00:00:00|4|1001|~1015~|2|0|~1015~
1114|2|19/11/2011 00:00:00|1018|26/11/2011 00:00:00|01/12/2011 00:00:00|5|1003|~1036~|1|0|~1036~
1115|1|21/02/2012 00:00:00|1053|27/02/2012 00:00:00|04/03/2012 00:00:00|5|1010|~1102~|2|0|~1102~
1116|0|08/02/2012 00:00:00|1029|11/02/2012 00:00:00|17/02/2012 00:00:00|6|1005|~1052~|1|0|~1052~
1117|2|25/12/2011 00:00:00|1005|01/01/2012 00:00:00|03/01/2012 00:00:00|2|1005|~1055~|1|0|~1055~
1118|0|16/02/2012 00:00:00|1032|16/02/2012 00:00:00|20/02/2012 00:00:00|4|1007|~1078~|1|0|~1078~
1119|1|13/02/2012 00:00:00|1086|22/02/2012 00:00:00|28/02/2012 00:00:00|6|1001|~1014~1017~|1|2|~1014~1017~
1120|2|08/10/2011 00:00:00|1069|10/10/2011 00:00:00|15/10/2011 00:00:00|5|1002|~1021~1020~|2|2|~1021~1020~
1121|2|05/08/2011 00:00:00|1030|06/08/2011 00:00:00|10/08/2011 00:00:00|4|1004|~1041~|1|0|~1041~
1122|2|27/01/2012 00:00:00|1069|27/01/2012 00:00:00|31/01/2012 00:00:00|4|1009|~1097~|2|0|~1097~
1123|2|29/10/2011 00:00:00|1064|01/11/2011 00:00:00|03/11/2011 00:00:00|2|1007|~1071~|1|0|~1071~
1124|2|27/10/2011 00:00:00|1085|04/11/2011 00:00:00|06/11/2011 00:00:00|2|1008|~1088~|1|0|~1088~
1125|2|18/12/2011 00:00:00|1099|26/12/2011 00:00:00|28/12/2011 00:00:00|2|1000|~1007~1009~|1|1|~1007~1009~
1126|2|17/10/2011 00:00:00|1008|26/10/2011 00:00:00|31/10/2011 00:00:00|5|1008|~1083~|2|0|~1083~
1127|1|28/02/2012 00:00:00|1061|28/02/2012 00:00:00|03/03/2012 00:00:00|3|1005|~1059~|2|0|~1059~
1128|1|12/02/2012 00:00:00|1034|12/02/2012 00:00:00|16/02/2012 00:00:00|4|1010|~1102~|1|0|~1102~
1129|2|23/11/2011 00:00:00|1015|30/11/2011 00:00:00|03/12/2011 00:00:00|3|1006|~1069~|1|0|~1069~
1130|2|27/01/2012 00:00:00|1044|04/02/2012 00:00:00|10/02/2012 00:00:00|6|1006|~1063~1065~|1|2|~1063~1065~
1131|2|26/11/2011 00:00:00|1067|04/12/2011 00:00:00|08/12/2011 00:00:00|4|1008|~1087~|1|0|~1087~
1132|1|14/02/2012 00:00:00|1007|21/02/2012 00:00:00|25/02/2012 00:00:00|4|1009|~1094~|2|0|~1094~
1133|2|28/11/2011 00:00:00|1053|28/11/2011 00:00:00|30/11/2011 00:00:00|2|1002|~1028~1024~|2|1|~1028~1024~
1134|2|26/10/2011 00:00:00|1063|29/10/2011 00:00:00|02/11/2011 00:00:00|4|1002|~1021~|2|0|~1021~
1135|2|20/01/2012 00:00:00|1031|26/01/2012 00:00:00|31/01/2012 00:00:00|5|1008|~1089~|2|0|~1089~
1136|2|29/12/2011 00:00:00|1014|29/12/2011 00:00:00|30/12/2011 00:00:00|1|1009|~1092~|2|0|~1092~
1137|2|04/02/2012 00:00:00|1076|05/02/2012 00:00:00|11/02/2012 00:00:00|6|1005|~1055~1057~|2|2|~1055~1057~
1138|2|04/09/2011 00:00:00|1071|05/09/2011 00:00:00|08/09/2011 00:00:00|3|1010|~1100~|2|0|~1100~
1139|2|18/08/2011 00:00:00|1059|22/08/2011 00:00:00|25/08/2011 00:00:00|3|1007|~1073~|2|0|~1073~
1140|2|14/10/2011 00:00:00|1006|18/10/2011 00:00:00|19/10/2011 00:00:00|1|1000|~1003~|2|0|~1003~
1141|2|25/08/2011 00:00:00|1025|03/09/2011 00:00:00|04/09/2011 00:00:00|1|1009|~1095~|1|0|~1095~
1142|2|19/01/2012 00:00:00|1057|26/01/2012 00:00:00|30/01/2012 00:00:00|4|1001|~1016~1011~|1|1|~1016~1011~
1143|2|25/09/2011 00:00:00|1056|02/10/2011 00:00:00|07/10/2011 00:00:00|5|1006|~1069~|1|0|~1069~
1144|2|08/12/2011 00:00:00|1000|11/12/2011 00:00:00|13/12/2011 00:00:00|2|1001|~1012~|1|0|~1012~
1145|0|13/03/2012 00:00:00|1081|16/03/2012 00:00:00|17/03/2012 00:00:00|1|1000|~1003~|1|0|~1003~
1146|0|22/02/2012 00:00:00|1058|25/02/2012 00:00:00|27/02/2012 00:00:00|2|1000|~1009~|1|0|~1009~
1147|2|31/08/2011 00:00:00|1079|07/09/2011 00:00:00|13/09/2011 00:00:00|6|1006|~1064~|2|0|~1064~
1148|2|14/12/2011 00:00:00|1016|17/12/2011 00:00:00|21/12/2011 00:00:00|4|1003|~1036~|2|0|~1036~
1149|2|30/11/2011 00:00:00|1043|05/12/2011 00:00:00|11/12/2011 00:00:00|6|1000|~1002~1006~|2|2|~1002~1006~
1150|0|05/03/2012 00:00:00|1095|13/03/2012 00:00:00|19/03/2012 00:00:00|6|1008|~1085~|1|0|~1085~
1151|2|05/09/2011 00:00:00|1078|14/09/2011 00:00:00|15/09/2011 00:00:00|1|1002|~1026~|1|0|~1026~
1152|2|19/09/2011 00:00:00|1032|24/09/2011 00:00:00|27/09/2011 00:00:00|3|1007|~1075~|1|0|~1075~
1153|2|08/10/2011 00:00:00|1079|16/10/2011 00:00:00|20/10/2011 00:00:00|4|1002|~1024~|2|0|~1024~
1154|1|15/02/2012 00:00:00|1066|15/02/2012 00:00:00|16/02/2012 00:00:00|1|1000|~1004~|1|0|~1004~
1155|0|14/03/2012 00:00:00|1067|15/03/2012 00:00:00|20/03/2012 00:00:00|5|1008|~1086~|1|0|~1086~
1156|2|17/11/2011 00:00:00|1009|26/11/2011 00:00:00|02/12/2011 00:00:00|6|1002|~1022~1027~|2|1|~1022~1027~
1157|2|19/01/2012 00:00:00|1081|20/01/2012 00:00:00|22/01/2012 00:00:00|2|1009|~1099~|2|0|~1099~
1158|2|18/01/2012 00:00:00|1033|24/01/2012 00:00:00|29/01/2012 00:00:00|5|1003|~1037~1036~|2|1|~1037~1036~
1159|0|04/03/2012 00:00:00|1006|11/03/2012 00:00:00|15/03/2012 00:00:00|4|1002|~1026~|1|0|~1026~
1160|2|07/12/2011 00:00:00|1052|13/12/2011 00:00:00|14/12/2011 00:00:00|1|1003|~1030~|2|0|~1030~
1161|0|16/03/2012 00:00:00|1046|21/03/2012 00:00:00|26/03/2012 00:00:00|5|1010|~1103~|2|0|~1103~
1162|2|07/08/2011 00:00:00|1086|16/08/2011 00:00:00|21/08/2011 00:00:00|5|1009|~1095~|2|0|~1095~
1163|2|02/09/2011 00:00:00|1003|09/09/2011 00:00:00|10/09/2011 00:00:00|1|1000|~1002~1003~|1|1|~1002~1003~
1164|0|19/02/2012 00:00:00|1076|22/02/2012 00:00:00|26/02/2012 00:00:00|4|1006|~1069~|1|0|~1069~
1165|1|27/02/2012 00:00:00|1020|02/03/2012 00:00:00|05/03/2012 00:00:00|3|1008|~1084~1088~|2|1|~1084~1088~
1166|2|05/10/2011 00:00:00|1059|07/10/2011 00:00:00|12/10/2011 00:00:00|5|1006|~1061~|1|0|~1061~
1167|2|05/09/2011 00:00:00|1067|13/09/2011 00:00:00|16/09/2011 00:00:00|3|1010|~1101~|2|0|~1101~
1168|0|15/03/2012 00:00:00|1019|18/03/2012 00:00:00|25/03/2012 00:00:00|7|1003|~1038~|2|0|~1038~
1169|2|05/12/2011 00:00:00|1093|08/12/2011 00:00:00|12/12/2011 00:00:00|4|1002|~1028~|1|0|~1028~
1170|2|13/08/2011 00:00:00|1043|20/08/2011 00:00:00|25/08/2011 00:00:00|5|1000|~1000~|1|0|~1000~
1171|1|21/02/2012 00:00:00|1000|23/02/2012 00:00:00|28/02/2012 00:00:00|5|1010|~1100~|2|0|~1100~
1172|2|25/09/2011 00:00:00|1045|30/09/2011 00:00:00|01/10/2011 00:00:00|1|1005|~1053~|2|0|~1053~
1173|2|04/10/2011 00:00:00|1058|06/10/2011 00:00:00|09/10/2011 00:00:00|3|1001|~1011~|2|0|~1011~
1174|2|19/01/2012 00:00:00|1006|26/01/2012 00:00:00|28/01/2012 00:00:00|2|1004|~1045~|1|0|~1045~
1175|0|19/02/2012 00:00:00|1041|20/02/2012 00:00:00|27/02/2012 00:00:00|7|1008|~1080~|2|0|~1080~
1176|2|29/07/2011 00:00:00|1027|31/07/2011 00:00:00|03/08/2011 00:00:00|3|1002|~1021~|1|0|~1021~
1177|1|26/02/2012 00:00:00|1039|02/03/2012 00:00:00|03/03/2012 00:00:00|1|1004|~1041~|1|0|~1041~
1178|2|19/11/2011 00:00:00|1084|20/11/2011 00:00:00|24/11/2011 00:00:00|4|1010|~1107~|1|0|~1107~
1179|2|08/08/2011 00:00:00|1016|11/08/2011 00:00:00|15/08/2011 00:00:00|4|1009|~1097~|2|0|~1097~
1180|1|11/02/2012 00:00:00|1072|15/02/2012 00:00:00|16/02/2012 00:00:00|1|1010|~1105~|2|0|~1105~
1181|2|12/11/2011 00:00:00|1029|12/11/2011 00:00:00|17/11/2011 00:00:00|5|1008|~1082~|2|0|~1082~
1182|2|24/12/2011 00:00:00|1067|02/01/2012 00:00:00|09/01/2012 00:00:00|7|1001|~1011~1019~|1|1|~1011~1019~
1183|2|21/08/2011 00:00:00|1082|29/08/2011 00:00:00|01/09/2011 00:00:00|3|1002|~1025~|1|0|~1025~
1184|2|23/12/2011 00:00:00|1028|31/12/2011 00:00:00|01/01/2012 00:00:00|1|1000|~1005~1003~|1|2|~1005~1003~
1185|2|15/10/2011 00:00:00|1046|20/10/2011 00:00:00|23/10/2011 00:00:00|3|1007|~1078~|2|0|~1078~
1186|2|12/08/2011 00:00:00|1035|16/08/2011 00:00:00|23/08/2011 00:00:00|7|1008|~1087~|2|0|~1087~
1187|2|14/10/2011 00:00:00|1099|20/10/2011 00:00:00|22/10/2011 00:00:00|2|1002|~1026~|2|0|~1026~
1188|2|20/09/2011 00:00:00|1095|25/09/2011 00:00:00|29/09/2011 00:00:00|4|1009|~1098~|1|0|~1098~
1189|2|30/11/2011 00:00:00|1071|04/12/2011 00:00:00|07/12/2011 00:00:00|3|1006|~1064~|2|0|~1064~
1190|2|01/08/2011 00:00:00|1058|05/08/2011 00:00:00|06/08/2011 00:00:00|1|1008|~1084~|1|0|~1084~
1191|2|30/09/2011 00:00:00|1055|05/10/2011 00:00:00|06/10/2011 00:00:00|1|1003|~1039~|1|0|~1039~
1192|1|13/02/2012 00:00:00|1034|18/02/2012 00:00:00|21/02/2012 00:00:00|3|1001|~1016~|1|0|~1016~
1193|2|07/11/2011 00:00:00|1002|12/11/2011 00:00:00|17/11/2011 00:00:00|5|1003|~1031~1030~|1|1|~1031~1030~
1194|2|14/08/2011 00:00:00|1040|22/08/2011 00:00:00|25/08/2011 00:00:00|3|1002|~1027~|2|0|~1027~
1195|2|18/11/2011 00:00:00|1063|25/11/2011 00:00:00|26/11/2011 00:00:00|1|1008|~1086~1083~|2|2|~1086~1083~
1196|2|26/08/2011 00:00:00|1025|01/09/2011 00:00:00|04/09/2011 00:00:00|3|1005|~1052~|2|0|~1052~
1197|1|23/02/2012 00:00:00|1057|28/02/2012 00:00:00|04/03/2012 00:00:00|4|1008|~1086~|1|0|~1086~
1198|1|11/02/2012 00:00:00|1020|14/02/2012 00:00:00|20/02/2012 00:00:00|6|1000|~1003~|1|0|~1003~
1199|2|09/08/2011 00:00:00|1091|10/08/2011 00:00:00|16/08/2011 00:00:00|6|1002|~1025~|2|0|~1025~
1200|2|26/08/2011 00:00:00|1082|03/09/2011 00:00:00|05/09/2011 00:00:00|2|1010|~1109~|2|0|~1109~
1201|2|22/12/2011 00:00:00|1032|25/12/2011 00:00:00|01/01/2012 00:00:00|7|1007|~1071~1073~|2|1|~1071~1073~
